version,suite,task_id,algorithm,n_files,n_stages_total,mean_u_target,mean_u_ref_used,mean_U_safe_ref,mean_u_tr_cap,mean_cap_util_ratio,n_feasibility_bumped,frac_feasibility_bumped,n_budget_saturated,frac_budget_saturated
pre_major689,advanced,dense_chain_cost_0,geometry_priority_dp/geometry_gain_only,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,advanced,dense_chain_cost_0,geometry_priority_dp/residual_only,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,advanced,dense_chain_cost_0,safe_double_q,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,advanced,dense_chain_cost_0,safe_q_single_table,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,advanced,dense_chain_cost_0,safe_target_expected_sarsa,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,advanced,dense_chain_cost_0,safe_target_q,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,advanced,dense_chain_cost_0,safe_target_q_polyak,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,advanced,dense_chain_cost_1,geometry_priority_dp/combined,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,advanced,dense_chain_cost_1,geometry_priority_dp/geometry_gain_only,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,advanced,dense_chain_cost_1,geometry_priority_dp/residual_only,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,advanced,dense_chain_cost_1,safe_double_q,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,advanced,dense_chain_cost_1,safe_q_single_table,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
