run_id,env,method,seed,episode,phase,beta_raw,beta_deployed,return,length,epsilon,alignment_rate,mean_signed_alignment,mean_advantage,mean_abs_advantage,mean_d_eff,median_d_eff,frac_d_eff_below_gamma,frac_d_eff_above_one,bellman_residual,td_target_abs_max,q_abs_max,catastrophic,success,regret,shift_event,divergence_event
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,0,biased_exploitable,1.0,1.0,0.0,20,1.0,0.3,-0.2889090591849931,-0.2889090591849931,0.7710916001630197,1.0738844403497338,1.1465568506640769,0.4,0.6,0.5351133054075462,1.5077462700219497,0.5659127255838002,0,0,0.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,1,biased_exploitable,1.0,1.0,-3.0,20,0.99981,0.3,-0.8645172755802495,-0.8645172755802495,1.1110708958204607,1.2967502493530214,1.3789137244458267,0.3,0.7,0.5823637924946384,1.8442651812970343,1.0063237178402338,0,0,3.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,2,biased_exploitable,1.0,1.0,3.0,20,0.99962,0.0,-1.038632347398756,-1.038632347398756,1.038632347398756,1.3723127243733666,1.4791714462130523,0.05,0.85,0.9157853805066194,2.3535692436258038,1.386598198581587,0,0,-3.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,3,biased_exploitable,1.0,1.0,-1.0,20,0.99943,0.0,-1.6927239701779235,-1.6927239701779235,1.6927239701779235,1.55752415250422,1.6614772406707914,0.05,0.95,1.047522828713676,3.1421282131096393,2.004371602778854,0,0,1.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,4,biased_exploitable,1.0,1.0,2.0,20,0.99924,0.0,-2.0285020943277994,-2.0285020943277994,2.0285020943277994,1.6548883507068068,1.7077747288923184,0.05,0.95,1.2835998094386938,4.016516705937462,2.7265390444526836,0,0,-2.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,5,biased_exploitable,1.0,1.0,0.0,20,0.99905,0.0,-3.0987660503504495,-3.0987660503504495,3.0987660503504495,1.8180758002084942,1.8514508608126168,0.0,1.0,2.1601129795217657,6.492098028574756,4.276087644902831,0,0,0.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,6,biased_exploitable,1.0,1.0,-8.0,20,0.99886,0.0,-5.431521325212706,-5.431521325212706,5.431521325212706,1.9111489484111328,1.9420126857830105,0.0,1.0,4.388172313790969,12.220334863416449,6.984987137923268,0,0,8.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,7,biased_exploitable,1.0,1.0,1.0,20,0.99867,0.0,-8.739377018308101,-8.739377018308101,8.739377018308101,1.8994676974421913,1.949774121021673,0.05,0.95,8.633982876316397,21.3980452352945,11.692455286931144,0,0,-1.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,8,biased_exploitable,1.0,1.0,1.0,20,0.99848,0.0,-17.101122217655842,-17.101122217655842,17.101122217655842,1.899996154761774,1.9499999317038834,0.05,0.95,18.249841964152147,49.43574772708212,24.526403072951485,0,0,-1.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,9,biased_exploitable,1.0,1.0,-3.0,20,0.99829,0.0,-33.768582609876304,-33.768582609876304,33.768582609876304,1.922783363634538,1.9499999999999882,0.0,1.0,37.69532847086292,95.3586610297817,44.582498051035074,0,0,3.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,10,biased_exploitable,1.0,1.0,2.0,20,0.9981,0.0,-63.51198440729365,-63.51198440729365,63.51198440729365,1.9000000000000004,1.95,0.05,0.95,69.6428794417436,168.01411960094885,94.99360063772276,0,0,-2.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,11,biased_exploitable,1.0,1.0,1.0,20,0.99791,0.0,-146.22739971952333,-146.22739971952333,146.22739971952333,1.9227833636418725,1.95,0.0,1.0,172.50073775128016,381.16129187434717,196.81181715532855,0,0,-1.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,12,biased_exploitable,1.0,1.0,-3.0,20,0.99772,0.0,-275.3020981941902,-275.3020981941902,275.3020981941902,1.9227833636418725,1.95,0.0,1.0,302.8961919916096,855.4601567344698,439.41663894105034,0,0,3.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,13,biased_exploitable,1.0,1.0,3.0,20,0.99753,0.0,-655.0194044005358,-655.0194044005358,655.0194044005358,1.9227833636418725,1.95,0.0,1.0,786.6346486760399,1765.0618674433247,905.879054689181,0,0,-3.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,14,biased_exploitable,1.0,1.0,7.0,20,0.99734,0.05,-1279.379718835075,-1279.379718835075,1279.479718835075,1.8777502409387967,1.95,0.05,0.95,1460.720506007384,3531.7194534837886,1785.5823863380892,0,0,-7.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,15,biased_exploitable,1.0,1.0,-3.0,20,0.99715,0.0,-2673.244206312288,-2673.244206312288,2673.244206312288,1.9000000000000004,1.95,0.05,0.95,3109.636659172974,7440.535206786747,3748.2071509631496,0,0,3.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,16,biased_exploitable,1.0,1.0,-5.0,20,0.99696,0.0,-5126.025971726626,-5126.025971726626,5126.025971726626,1.9000000000000004,1.95,0.05,0.95,5772.44766498301,14955.612688923171,6903.237682210961,0,0,5.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,17,biased_exploitable,1.0,1.0,-3.0,20,0.99677,0.0,-9848.597359815867,-9848.597359815867,9848.597359815867,1.9227833636418725,1.95,0.0,1.0,10925.9886689684,28019.941973395482,15101.867255782765,0,0,3.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,18,biased_exploitable,1.0,1.0,-1.0,20,0.99658,0.05,-19808.846618553922,-19808.846618553922,19808.946618553924,1.8777502409387967,1.95,0.05,0.95,22001.251100558213,61745.22051421026,31664.93477097992,0,0,1.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,19,biased_exploitable,1.0,1.0,5.0,20,0.99639,0.0,-42285.2579920062,-42285.2579920062,42285.2579920062,1.9227833636418725,1.95,0.0,1.0,48088.787160083906,129632.99326346481,66479.17720649506,0,0,-5.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,20,biased_exploitable,1.0,1.0,4.0,20,0.9962,0.0,-98105.8703246451,-98105.8703246451,98105.8703246451,1.9000000000000004,1.95,0.05,0.95,116877.33675411297,267932.8415151048,150455.24283042064,0,0,-4.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,21,biased_exploitable,1.0,1.0,-4.0,20,0.99601,0.0,-205579.87957952457,-205579.87957952457,205579.87957952457,1.9227833636418725,1.95,0.0,1.0,235569.35842517763,609751.9700763937,342399.83040714444,0,0,4.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,22,biased_exploitable,1.0,1.0,4.0,20,0.99582,0.0,-451832.14780241624,-451832.14780241624,451832.14780241624,1.9000000000000004,1.95,0.05,0.95,533841.5372048347,1297269.9439149878,625827.2968211464,0,0,-4.0,0,0
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,23,biased_exploitable,1.0,1.0,0.0,20,0.99563,0.0,-931498.834382218,-931498.834382218,931498.834382218,1.9227833636418725,1.95,0.0,1.0,1043767.358034819,2764694.2074122196,1417792.6203597027,0,0,0.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,24,biased_exploitable,1.0,1.0,-3.0,20,0.99544,0.0,-1937379.1663577766,-1937379.1663577766,1937379.1663577766,1.9227833636418725,1.95,0.0,1.0,2221854.000038443,5520973.223489577,2790215.435189345,0,0,3.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,25,biased_exploitable,1.0,1.0,2.0,20,0.99525,0.0,-4110709.786833398,-4110709.786833398,4110709.786833398,1.9000000000000004,1.95,0.05,0.95,4807380.036026893,12047914.76876292,6178418.549257498,0,0,-2.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,26,biased_exploitable,1.0,1.0,4.0,20,0.9950600000000001,0.0,-7717894.908082341,-7717894.908082341,7717894.908082341,1.9000000000000004,1.95,0.05,0.95,8441927.851183025,23705376.391998317,12156603.997070523,0,0,-4.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,27,biased_exploitable,1.0,1.0,2.0,20,0.99487,0.0,-15161848.938831946,-15161848.938831946,15161848.938831946,1.9000000000000004,1.95,0.05,0.95,16840779.6884785,42543428.238043144,23889771.888573088,0,0,-2.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,28,biased_exploitable,1.0,1.0,4.0,20,0.99468,0.0,-31997571.754525237,-31997571.754525237,31997571.754525237,1.9000000000000004,1.95,0.05,0.95,35987868.63346328,101690077.71730042,52148758.522866465,0,0,-4.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,29,biased_exploitable,1.0,1.0,4.0,20,0.99449,0.0,-79278421.27806932,-79278421.27806932,79278421.27806932,1.9227833636418725,1.95,0.0,1.0,96897157.21422797,230147174.95159426,118024193.00199154,0,0,-4.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,30,biased_exploitable,1.0,1.0,-7.0,20,0.9943,0.0,-169379933.05632308,-169379933.05632308,169379933.05632308,1.9227833636418725,1.95,0.0,1.0,196022454.43845162,433480865.576976,243416179.00966614,0,0,7.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,31,biased_exploitable,1.0,1.0,-5.0,20,0.99411,0.05,-366455066.7728835,-366455066.7728835,366455066.87288344,1.8777502409387967,1.95,0.05,0.95,422471284.18853223,1074264248.7968144,550904743.691848,0,0,5.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,32,biased_exploitable,1.0,1.0,-4.0,20,0.99392,0.0,-791945570.2624724,-791945570.2624724,791945570.2624724,1.9000000000000004,1.95,0.05,0.95,923211931.2345524,2463947765.370576,1263562957.319418,0,0,4.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,33,biased_exploitable,1.0,1.0,8.0,20,0.99373,0.05,-1818666088.482753,-1818666088.482753,1818666088.582753,1.8777502409387967,1.95,0.05,0.95,2144371902.0786178,5618035508.350018,2839268715.3102946,0,0,-8.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,34,biased_exploitable,1.0,1.0,5.0,20,0.99354,0.0,-4063183632.35311,-4063183632.35311,4063183632.35311,1.9227833636418725,1.95,0.0,1.0,4661389116.394228,12625544309.201506,7089728728.121902,0,0,-5.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,35,biased_exploitable,1.0,1.0,3.0,20,0.99335,0.05,-10317284741.979063,-10317284741.979063,10317284742.079063,1.8777502409387967,1.95,0.05,0.95,12825422882.2671,31288972539.82685,14441064249.921284,0,0,-3.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,36,biased_exploitable,1.0,1.0,-3.0,20,0.99316,0.0,-19275794551.606087,-19275794551.606087,19275794551.606087,1.9000000000000004,1.95,0.05,0.95,22071231391.637222,53681948035.8425,27529204121.66399,0,0,3.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,37,biased_exploitable,1.0,1.0,3.0,20,0.99297,0.05,-40019906513.15731,-40019906513.15731,40019906513.25731,1.8777502409387967,1.95,0.05,0.95,46402059573.48797,122070746071.95111,56340344341.670944,0,0,-3.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,38,biased_exploitable,1.0,1.0,0.0,20,0.99278,0.0,-77979120495.8229,-77979120495.8229,77979120495.8229,1.9000000000000004,1.95,0.05,0.95,88251488936.66525,222606791484.79437,112502047697.12857,0,0,0.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,39,biased_exploitable,1.0,1.0,2.0,20,0.99259,0.05,-162389790489.68835,-162389790489.68835,162389790489.78836,1.8777502409387967,1.95,0.05,0.95,187354623069.05768,453109068348.11145,222408285346.09912,0,0,-2.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,40,biased_exploitable,1.0,1.0,2.0,20,0.9924,0.0,-320205266915.786,-320205266915.786,320205266915.786,1.9227833636418725,1.95,0.0,1.0,357221220566.0499,919074066310.5751,471320034006.1422,0,0,-2.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,41,biased_exploitable,1.0,1.0,0.0,20,0.99221,0.05,-690610205943.7405,-690610205943.7405,690610205943.8405,1.8777502409387967,1.95,0.05,0.95,786444820378.1492,1934137205611.6726,1086092430844.1249,0,0,0.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,42,biased_exploitable,1.0,1.0,3.0,20,0.99202,0.05,-1480929401903.1553,-1480929401903.1553,1480929401903.2554,1.8777502409387967,1.95,0.05,0.95,1662993209553.6577,4561041077814.342,2561199989850.2393,0,0,-3.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,43,biased_exploitable,1.0,1.0,5.0,20,0.99183,0.05,-3036653094540.3867,-3036653094540.3867,3036653094540.487,1.8777502409387967,1.95,0.05,0.95,3558589155365.9424,8230985213319.475,4236596014328.9097,0,0,-5.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,44,biased_exploitable,1.0,1.0,-4.0,20,0.99164,0.0,-6216577939399.07,-6216577939399.07,6216577939399.07,1.9227833636418725,1.95,0.0,1.0,7189461566236.995,19142569103648.01,8835031893991.96,0,0,4.0,0,1
headline-rps-fixed_positive-s13-195945065,rps,fixed_positive,13,45,biased_exploitable,1.0,1.0,-2.0,20,0.99145,0.0,-11603936679482.547,-11603936679482.547,11603936679482.547,1.9227833636418725,1.95,0.0,1.0,12926450081063.045,32139082798679.664,16481580922400.547,0,0,2.0,0,1
