run_id,env,method,seed,episode,phase,beta_raw,beta_deployed,return,length,epsilon,alignment_rate,mean_signed_alignment,mean_advantage,mean_abs_advantage,mean_d_eff,median_d_eff,frac_d_eff_below_gamma,frac_d_eff_above_one,bellman_residual,td_target_abs_max,q_abs_max,catastrophic,success,regret,shift_event,divergence_event
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,0,biased_exploitable,-1.0,-1.0,-3.0,20,1.0,0.65,0.2748484879853358,-0.2748484879853358,0.627827244559411,0.8315772490798518,0.8349341024434046,0.8,0.2,0.6180510224233248,1.2321933258066833,0.4881214763889404,0,0,3.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,1,biased_exploitable,-1.0,-1.0,-3.0,20,0.99981,0.7,0.5028066760933745,-0.5028066760933745,0.9367273884501819,0.7454113314390354,0.742971723327895,0.7,0.3,0.6265914137819191,1.3348744531688193,0.6478422415091484,0,0,3.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,2,biased_exploitable,-1.0,-1.0,-6.0,20,0.99962,0.75,0.8882024242886027,-0.8882024242886027,1.047987157527269,0.5936585166331513,0.4784801372906427,0.8,0.2,0.4578795625105176,1.672709115119573,0.854259652651095,0,0,6.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,3,biased_exploitable,-1.0,-1.0,4.0,20,0.99943,0.85,0.8916700389695695,-0.8916700389695695,0.9450925046469008,0.6132631821880604,0.689435729491163,0.85,0.1,0.9807689422879958,2.280491939621992,1.4751494985746465,0,0,-4.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,4,biased_exploitable,-1.0,-1.0,-2.0,20,0.99924,0.95,1.6186807190770558,-1.6186807190770558,1.6186807190770558,0.38035586145663225,0.34810375064243926,1.0,0.0,0.7377500289971141,2.5634693323253352,1.8831285454643039,0,0,2.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,5,biased_exploitable,-1.0,-1.0,4.0,20,0.99905,1.0,1.568236305532535,-1.568236305532535,1.568236305532535,0.3754943343809504,0.3881983619051261,1.0,0.0,0.8607637038665571,2.695293539123924,1.78436271238031,0,0,-4.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,6,biased_exploitable,-1.0,-1.0,0.0,20,0.99886,0.95,1.7881659488802932,-1.7881659488802932,1.888165948880293,0.3365650089281738,0.23841258677699728,0.95,0.05,0.6506440140530898,2.6261294998690907,1.867856919841241,0,0,0.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,7,biased_exploitable,-1.0,-1.0,-1.0,20,0.99867,0.95,1.9093177372560892,-1.9093177372560892,1.9093177372560892,0.292554419044355,0.22009138214755103,1.0,0.0,0.6383729281050514,2.637272174739939,1.9163123366241441,0,0,1.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,8,biased_exploitable,-1.0,-1.0,-1.0,20,0.99848,0.95,1.7343726743057997,-1.7343726743057997,1.8343726743057995,0.34901872244554455,0.27149384446289715,0.95,0.05,0.49600319160994877,2.5649833845692975,1.7734693490484412,0,0,1.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,9,biased_exploitable,-1.0,-1.0,0.0,20,0.99829,0.95,1.7458753312745645,-1.7458753312745645,1.7458753312745645,0.33875489710095597,0.27078357987033225,1.0,0.0,0.6137962634055485,2.6628950203125283,2.0575675094882357,0,0,0.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,10,biased_exploitable,-1.0,-1.0,1.0,20,0.9981,0.95,2.0408676767287153,-2.0408676767287153,2.140867676728715,0.28932979423220323,0.18877150126356526,0.95,0.05,0.8085951974295504,2.800490283821899,2.2930269289661935,0,0,-1.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,11,biased_exploitable,-1.0,-1.0,-6.0,20,0.99791,1.0,2.4797681308738158,-2.4797681308738158,2.4797681308738158,0.1888413319478261,0.15792470528790312,1.0,0.0,0.965424463735889,2.8148492273880645,1.6499458892559073,0,0,6.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,12,biased_exploitable,-1.0,-1.0,-2.0,20,0.99772,0.95,1.8271974148281487,-1.8271974148281487,1.8271974148281487,0.3222637034924491,0.24658409437120513,1.0,0.0,0.7938586159447568,2.565070613898902,1.689325800225277,0,0,2.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,13,biased_exploitable,-1.0,-1.0,-4.0,20,0.99753,1.0,1.9459353494974956,-1.9459353494974956,1.9459353494974956,0.2884012468274253,0.23824861989294807,1.0,0.0,0.7865335874368233,2.6265491394622247,1.633993823553219,0,0,4.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,14,biased_exploitable,-1.0,-1.0,-3.0,20,0.99734,1.0,1.916820627961775,-1.916820627961775,1.916820627961775,0.2985362338370123,0.24870329826348334,1.0,0.0,0.6759638784586939,2.6747841217278814,2.079977520603619,0,0,3.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,15,biased_exploitable,-1.0,-1.0,0.0,20,0.99715,1.0,2.0373050391861733,-2.0373050391861733,2.0373050391861733,0.28739962663619306,0.2965754242093974,1.0,0.0,1.0947051357018247,2.807639612165165,1.9250160489010757,0,0,0.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,16,biased_exploitable,-1.0,-1.0,-2.0,20,0.99696,0.95,2.103291520504011,-2.103291520504011,2.103291520504011,0.2648100058016709,0.188032162734144,1.0,0.0,0.46144845780258414,2.755583059935689,2.2432105146433146,0,0,2.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,17,biased_exploitable,-1.0,-1.0,2.0,20,0.99677,0.95,1.9946665972623645,-1.9946665972623645,1.9946665972623645,0.2860375609878064,0.18852683608897897,1.0,0.0,0.8800846410736984,2.7800981034248187,2.2971087270210724,0,0,-2.0,0,0
headline-rps-fixed_negative-s12-195932783,rps,fixed_negative,12,18,biased_exploitable,-1.0,-1.0,3.0,20,0.99658,0.95,2.058552393289376,-2.058552393289376,2.058552393289376,0.26576168350946133,0.1700261006473536,1.0,0.0,0.9475372717293717,2.84000183896809,2.370735615636139,0,0,-3.0,0,0
