family,stage,xi_ref_t,beta_used_t,u_ref_used_t,design_margin,n_t,margin_q50,margin_q75,margin_q90,margin_q95,margin_q99,u_q50,u_q75,u_q90,u_q75_over_u_ref,frac_margin_ge_50pct,p_align
grid_hazard,10,0.99447514,0.00067037817,0.010790825,16.096623,294,0.99447514,1,1,1,1.2395318,0.00066667442,0.00067037817,0.00067037817,0.06212483,0,0.45918367
grid_hazard,11,0.99447514,0.00062340789,0.0091266632,14.639955,159,0.99447514,1,1,1,1.2395318,0.00061996364,0.00062340789,0.00062340789,0.068306222,0,0.44654088
grid_hazard,12,0.99447514,0.00060524439,0.0079441071,13.125454,88,0.99447514,1,1,1,1,0.00060190049,0.00060524439,0.00060524439,0.076187844,0,0.47727273
grid_hazard,13,0.99447514,0.0006348384,0.007352829,11.582206,46,1,1,1,1,1,0.0006348384,0.0006348384,0.0006348384,0.086339339,0,0.60869565
grid_hazard,14,0.99447514,0.00039448132,0.0039291382,9.9602642,18,0.99723757,1,1,1.0359298,1.1988114,0.00039339159,0.00039448132,0.00039448132,0.10039894,0,0.44444444
grid_hazard,15,0.96700345,0.00049446421,0.0039863586,8.061976,10,1,1,1,1,1,0.00049446421,0.00049446421,0.00049446421,0.12403907,0,0.7
grid_hazard,16,0.98073929,0.00021237011,0.001373291,6.4664986,3,0.99447514,0.99723757,0.99889503,0.99944751,0.9998895,0.0002111968,0.00021178345,0.00021213545,0.154216,0,0.33333333
grid_hazard,17,1,0,0,0,2,1.0635778,1.1515548,1.204341,1.2219364,1.2360127,0,0,0,nan,nan,0
grid_hazard,18,0.96776234,0,0,0,2,0.94104953,0.96776234,0.98379002,0.98913258,0.99340663,0,0,0,nan,nan,0
grid_hazard,19,0.93953176,0.0015022781,0.001411438,0.93953176,2,0.96976588,0.98488294,0.99395318,0.99697659,0.99939532,0.001456858,0.0014795681,0.0014931941,1.04827,1,0.5
