run_id,env,method,seed,episode,phase,beta_raw,beta_deployed,return,length,epsilon,alignment_rate,mean_signed_alignment,mean_advantage,mean_abs_advantage,mean_d_eff,median_d_eff,frac_d_eff_below_gamma,frac_d_eff_above_one,bellman_residual,td_target_abs_max,q_abs_max,catastrophic,success,regret,shift_event,divergence_event
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,0,biased_exploitable,-1.9398207949568465,-1.9398207949568465,-3.0,20,1.0,0.0,0.0,-0.41815636562812497,0.818655116878125,0.9499999999999998,0.95,0.0,0.0,0.5977717057576972,1.377159488125,0.4950249375625,0,0,3.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,1,biased_exploitable,-1.987521525499857,-1.987521525499857,2.0,20,0.99981,0.6,1.118679138816001,-0.5766920025418572,0.9037919044296711,0.6645091131666157,0.5250601149390429,0.6,0.4,0.7433490687468348,1.7855663133887358,0.7488413803170466,0,0,-2.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,2,biased_exploitable,-1.9989039723403053,-1.9989039723403053,-3.0,20,0.99962,0.8,1.6301816855279572,-0.8202083170485264,0.9689620642309242,0.45507394523097905,0.35380973876760535,0.8,0.2,0.6379600189049269,1.6434655344042022,0.9124454376822396,0,0,3.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,3,biased_exploitable,-1.999874849428888,-1.999874849428888,-1.0,20,0.99943,0.75,2.0733143819808086,-1.0372256049665978,1.0847959672324134,0.3871632528394952,0.15820476320765475,0.8,0.15,0.6545677985524037,2.035398603361155,1.1885462716862485,0,0,1.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,4,biased_exploitable,-1.9999976579955807,-1.9999976579955807,-1.0,20,0.99924,0.95,2.869979835238925,-1.4350797181426207,1.4350797181426207,0.25807995203762474,0.09553999264663675,1.0,0.0,0.43105536886225126,2.3639641808431446,1.6936017735477085,0,0,1.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,5,biased_exploitable,-1.9999996458921925,-1.9999996458921925,-8.0,20,0.99905,0.95,3.2479879369941833,-1.6239958701998443,1.6308372898792072,0.22491571278472716,0.03814403472419043,0.95,0.05,0.8164773515775133,2.393538034328309,1.2389386815379457,0,0,8.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,6,biased_exploitable,-1.9999993422667957,-1.9999993422667957,-5.0,20,0.99886,1.0,3.1241515766692247,-1.5620760649062775,1.5620760649062775,0.22873748158036694,0.05874017559552776,1.0,0.0,0.4454790491949542,2.3393967494003456,1.3351311018699006,0,0,5.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,7,biased_exploitable,-1.9998860032868835,-1.9998860032868835,-3.0,20,0.99867,0.7,2.093120672408932,-1.046560680383321,1.1554171497979495,0.43317567109896526,0.2482675353290063,0.7,0.3,0.8768616046964439,1.8279732294471391,1.0805382195465636,0,0,3.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,8,biased_exploitable,-1.9993227146122405,-1.9993227146122405,2.0,20,0.99848,0.8,1.7366095807985165,-0.8683542851664233,0.983962369620774,0.4615258665736441,0.2210771368945179,0.8,0.15,0.6737042665312882,2.017554410403314,1.1682696240450552,0,0,-2.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,9,biased_exploitable,-1.9999990163641368,-1.9999990163641368,-4.0,20,0.99829,1.0,3.0426301227686343,-1.521830418136743,1.521830418136743,0.20775811568380714,0.09902909669033828,1.0,0.0,0.7371817042670445,2.320186752029189,1.078181735651454,0,0,4.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,10,biased_exploitable,-1.9999912117995524,-1.9999912117995524,-5.0,20,0.9981,0.95,2.605677270186616,-1.302839275853026,1.3039192283675198,0.23668535864557055,0.17996566673399347,0.95,0.0,0.7680818615330804,2.054800539584102,1.1173479675254538,0,0,5.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,11,biased_exploitable,-1.99991557181557,-1.99991557181557,2.0,20,0.99791,0.95,2.1531670441693,-1.076588252721332,1.076588252721332,0.3607539928299399,0.17996709127647545,1.0,0.0,0.7669807628232488,2.2498470693170267,1.4777806065912997,0,0,-2.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,12,biased_exploitable,-1.9999999636984023,-1.9999999636984023,-5.0,20,0.99772,1.0,3.7033833455697263,-1.851769843567801,1.851769843567801,0.14535335998777232,0.03214189993862565,1.0,0.0,0.9140085760495795,2.4236350180926634,1.7798592533480686,0,0,5.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,13,biased_exploitable,-1.9999999939710698,-1.9999999939710698,-8.0,20,0.99753,1.0,4.062598053685421,-2.031299063712411,2.031299063712411,0.08540558244357536,0.02614784383042758,1.0,0.0,0.8181159213736067,2.4311359262440124,1.537923342922943,0,0,8.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,14,biased_exploitable,-1.999998907075246,-1.999998907075246,1.0,20,0.99734,1.0,3.0225894473744668,-1.5112947282429785,1.5112947282429785,0.1758209042024121,0.08190299634749366,1.0,0.0,0.5797437019754323,2.453951148375461,1.9387646508475456,0,0,-1.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,15,biased_exploitable,-1.999999960472351,-1.999999960472351,-1.0,20,0.99715,0.95,3.6865099439715436,-1.8432559792558159,1.8432559792558159,0.13766405024431733,0.03885045351382739,1.0,0.0,0.8291177806026354,2.4688425061957284,1.922224626526385,0,0,1.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,16,biased_exploitable,-1.9999996799326751,-1.9999996799326751,6.0,20,0.99696,1.0,3.268205686243006,-1.634102875417625,1.634102875417625,0.12333190247425033,0.17727409133115268,1.0,0.0,0.53896814570382,2.510034305450384,2.1734539555599484,0,0,-6.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,17,biased_exploitable,-1.9999999284992855,-1.9999999284992855,3.0,20,0.99677,0.95,3.567969976870696,-1.783985273933044,1.8839852739330438,0.18526392627549068,0.03365674815187663,0.95,0.05,0.8435366872034097,2.516322459366838,1.9568986342900363,0,0,-3.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,18,biased_exploitable,-1.999999812571559,-1.999999812571559,-1.0,20,0.99658,0.95,3.3752324847357045,-1.687616302700738,1.687616302700738,0.16236283355042197,0.058825247541290544,1.0,0.0,0.8344147361521882,2.4732586318401437,1.709544581128104,0,0,1.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,19,biased_exploitable,-1.9999993667796134,-1.9999993667796134,4.0,20,0.99639,0.95,3.1317480097481436,-1.5658741516187475,1.6658741516187476,0.1960909835057299,0.044089328138344146,0.95,0.05,0.5132026506100239,2.473684162965563,1.7945904014971104,0,0,-4.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,20,biased_exploitable,-1.9999999306814369,-1.9999999306814369,-4.0,20,0.9962,1.0,3.574168357313596,-1.7870847444660445,1.7870847444660445,0.1154942736531785,0.06049409134318023,1.0,0.0,0.739562211965042,2.447383472614894,1.695116366180888,0,0,4.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,21,biased_exploitable,-1.9999998866051405,-1.9999998866051405,-2.0,20,0.99601,1.0,3.4757367017768495,-1.7378684111216949,1.7378684111216949,0.10303038228439357,0.057247229492741795,1.0,0.0,0.4638783508339828,2.4044724271990017,1.7916490456817105,0,0,2.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,22,biased_exploitable,-1.9999999845869196,-1.9999999845869196,-3.0,20,0.99582,1.0,3.874868514751759,-1.9374343672234282,1.9374343672234282,0.10925951793860963,0.03945358620541243,1.0,0.0,0.8950197818828635,2.4761742102888427,1.7581521754119591,0,0,3.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,23,biased_exploitable,-1.9999990470706734,-1.9999990470706734,7.0,20,0.99563,0.95,3.050003820062994,-1.5250019217839856,1.6250019217839857,0.2283386606655724,0.19753647253602602,0.95,0.05,0.8801983754952512,2.508957856590788,1.8705708237506793,0,0,-7.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,24,biased_exploitable,-1.9999995937558617,-1.9999995937558617,2.0,20,0.99544,0.95,3.2205196239522316,-1.6102605792083804,1.7102605792083803,0.21168256386172518,0.050277959573229114,0.95,0.05,0.8058659871473722,2.466306855592829,1.6336072043876797,0,0,-2.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,25,biased_exploitable,-1.9999980592286164,-1.9999980592286164,-5.0,20,0.99525,0.95,2.907743193254001,-1.4538718919404674,1.5538718919404675,0.3080689507271399,0.02876405991399982,0.95,0.05,0.9111977957314785,2.2259956224989006,1.1258979622211278,0,0,5.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,26,biased_exploitable,-1.9999672347853923,-1.9999672347853923,-4.0,20,0.9950600000000001,0.85,2.3424835879597925,-1.1712429305372778,1.1994685296354288,0.3264430633122616,0.17484540851920416,0.9,0.1,0.9703965156670792,2.0679616117478368,0.9719410213978616,0,0,4.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,27,biased_exploitable,-1.999366726685102,-1.999366726685102,1.0,20,0.99487,0.8,1.750120224433228,-0.8750744482176607,0.9330715895829087,0.4565284833397186,0.24661413829042045,0.8,0.2,0.8893896372522127,2.037318293531326,1.0357679869688234,0,0,-1.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,28,biased_exploitable,-1.9981968503069834,-1.9981968503069834,5.0,20,0.99468,0.8,1.540324879369959,-0.7704063785855723,0.8018670804033308,0.5231095717952552,0.4975730961208795,0.85,0.1,0.990361880169116,2.1046400686232976,1.2024357837752766,0,0,-5.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,29,biased_exploitable,-1.9999721716335574,-1.9999721716335574,-2.0,20,0.99449,1.0,2.3730070431047183,-1.1875742085871832,1.1875742085871832,0.26815563517540253,0.1765190727765353,1.0,0.0,0.7991933022426755,2.122569377243429,1.1290065308206787,0,0,2.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,30,biased_exploitable,-1.9999951609582447,-1.9999951609582447,-3.0,20,0.9943,1.0,2.724979482133845,-1.3625086992626048,1.3625086992626048,0.2909766275039092,0.13610327806959371,1.0,0.0,0.9333396655621161,2.2576953323161466,1.2110657979509216,0,0,3.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,31,biased_exploitable,-1.999993985205625,-1.999993985205625,-4.0,20,0.99411,0.95,2.681509762398615,-1.3407581251915837,1.3407581251915837,0.2654057280781587,0.15564085036091418,1.0,0.0,0.5613533609070335,2.1752401071534564,1.288024318711326,0,0,4.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,32,biased_exploitable,-1.9999972204945506,-1.9999972204945506,-4.0,20,0.99392,0.95,2.835897712945145,-1.4179531208208,1.4179531208208,0.24898944682134455,0.12550455260644683,1.0,0.0,0.782327549663193,2.1981001478899964,1.3127156641378264,0,0,4.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,33,biased_exploitable,-1.9999995128539474,-1.9999995128539474,-4.0,20,0.99373,0.95,3.184194793831437,-1.5920996095404891,1.5920996095404891,0.1975428340234437,0.0902985834174878,1.0,0.0,0.8658305357655947,2.3022132026053383,1.4727444632323201,0,0,4.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,34,biased_exploitable,-1.999998880125837,-1.999998880125837,-4.0,20,0.99354,0.95,3.0177169278763425,-1.5088588314554832,1.5088588314554832,0.24399608023927005,0.07782122169789049,1.0,0.0,0.8125469360162494,2.3001305195739583,1.2776845840033078,0,0,4.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,35,biased_exploitable,-1.9999958082306453,-1.9999958082306453,4.0,20,0.99335,0.95,2.753734647277839,-1.376868094598422,1.476868094598422,0.31951977060819586,0.29994342999291834,0.95,0.05,1.0234175634058758,2.438289606284572,1.7012845756278892,0,0,-4.0,0,0
headline-rps-adaptive_beta_no_clip-s6-195847989,rps,adaptive_beta_no_clip,6,36,biased_exploitable,-1.9999986601421522,-1.9999986601421522,1.0,20,0.99316,0.95,2.9818419622835295,-1.4909241059467535,1.5909241059467534,0.2266184287461046,0.06707803293881219,0.95,0.05,1.0181260506070404,2.373304505103423,1.3587661035078442,0,0,-1.0,0,0
