idx,family,total_score,mean_abs_u_pred,frac_u_ge_5e3,informative_stage_frac,mean_abs_delta_d_pred,reward_bound,horizon,gamma,terminal_reward,step_reward,micro_reward,cfg_json,error
53,two_path_chain,-1.5871379043158829,0.0011985301971435547,0.1,0.1,0.0005901392341265218,1.1,20,0.97,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}",
54,two_path_chain,-1.675315173719377,0.0010815928318555147,0.1,0.1,0.0005325609375126138,1.6,20,0.97,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.6}",
55,two_path_chain,-1.6219952309900176,0.0011985301971435547,0.1,0.1,0.0005838993268135267,1.6,20,0.95,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.6}",
56,two_path_chain,-1.61902769906842,0.0011985301971435547,0.1,0.1,0.0005901392341265218,1.6,20,0.97,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.6}",
57,two_path_chain,-1.6166223512201856,0.0011985301971435547,0.1,0.1,0.0005838993268135267,1.6,20,0.95,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.6}",
58,two_path_chain,-1.6120315313296474,0.0011985301971435547,0.1,0.1,0.0005901392341265218,1.6,20,0.97,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.6}",
59,two_path_chain,-0.7877832992432451,0.0024815652441574514,0.25,0.2857142857142857,0.0012218874552450394,1.1,30,0.97,1.0,0,False,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.97, ""reward_bound"": 1.1}",
60,dense_grid_hazard,0.04309457240140824,0.0034742339285701064,0.3,0.55,0.0016925755036623594,2.0,20,0.95,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}",
61,dense_grid_hazard,-0.14261353645944486,0.002880932121209258,0.3,0.6,0.001418530029224863,2.0,20,0.97,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}",
62,dense_grid_hazard,0.5551547388514044,0.004288372726917847,0.35,0.65,0.0020892072259343355,2.0,20,0.95,1.0,0,False,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}",
