idx,family,total_score,predicted_mean_abs_u_informative,predicted_median_abs_u_informative,predicted_frac_informative_ge_5e3,mean_abs_target_gap_norm,informative_stage_frac,mean_abs_u_pred,frac_u_ge_5e3,error
44,chain_jackpot,-2.97424451,0.00000000,0.00000000,0.00000000,0.00005284,0.00000000,0.00078262,0.00000000,
45,chain_jackpot,0.32950017,0.00200414,0.00142000,0.07968902,0.00025724,0.43333333,0.00162182,0.06666667,
46,chain_jackpot,-0.76386848,0.00139789,0.00121101,0.00000000,0.00033187,0.54545455,0.00120499,0.00000000,
47,chain_jackpot,0.36585250,0.00158039,0.00164024,0.00000000,0.00117850,0.86000000,0.00170875,0.00000000,
48,chain_jackpot,-3.00344219,0.00000000,0.00000000,0.00000000,0.00000524,0.00000000,0.00049964,0.00000000,
49,chain_jackpot,-0.98775474,0.00161249,0.00135481,0.00000000,0.00013874,0.33333333,0.00117954,0.00000000,
50,chain_jackpot,-1.15840430,0.00110160,0.00101108,0.00000000,0.00019659,0.51515152,0.00093367,0.00000000,
51,chain_jackpot,-0.28130270,0.00131542,0.00126640,0.00000000,0.00069965,0.78000000,0.00130972,0.00000000,
52,chain_jackpot,-2.99604198,0.00000000,0.00000000,0.00000000,0.00001731,0.00000000,0.00052748,0.00000000,
53,chain_jackpot,-1.00929162,0.00158919,0.00134684,0.00000000,0.00013808,0.33333333,0.00116044,0.00000000,
54,chain_jackpot,-1.20731988,0.00110059,0.00101682,0.00000000,0.00018821,0.48484848,0.00091623,0.00000000,
55,chain_jackpot,-0.32830482,0.00130749,0.00126633,0.00000000,0.00068087,0.76000000,0.00129677,0.00000000,
56,chain_jackpot,-2.97424451,0.00000000,0.00000000,0.00000000,0.00005284,0.00000000,0.00078262,0.00000000,
57,chain_jackpot,-0.54330773,0.00174595,0.00145996,0.03348358,0.00015366,0.33333333,0.00124644,0.00000000,
58,chain_jackpot,-1.17674972,0.00113222,0.00105909,0.00000000,0.00019129,0.48484848,0.00091302,0.00000000,
59,chain_jackpot,-0.36864921,0.00136583,0.00136714,0.00000000,0.00066721,0.70000000,0.00128623,0.00000000,
60,chain_jackpot,-3.00344219,0.00000000,0.00000000,0.00000000,0.00000524,0.00000000,0.00049964,0.00000000,
61,chain_jackpot,-1.56264858,0.00123709,0.00113935,0.00000000,0.00006398,0.20000000,0.00085364,0.00000000,
62,chain_jackpot,-1.71900445,0.00083993,0.00084317,0.00000000,0.00008878,0.33333333,0.00063704,0.00000000,
63,chain_jackpot,-1.08548933,0.00094034,0.00098537,0.00000000,0.00031208,0.62000000,0.00087461,0.00000000,
64,chain_jackpot,-2.99604198,0.00000000,0.00000000,0.00000000,0.00001731,0.00000000,0.00052748,0.00000000,
65,chain_jackpot,-1.58601019,0.00120961,0.00113196,0.00000000,0.00006651,0.20000000,0.00084491,0.00000000,
66,chain_jackpot,-1.76161431,0.00084194,0.00081500,0.00000000,0.00008622,0.30303030,0.00062861,0.00000000,
67,chain_jackpot,-1.09606761,0.00093350,0.00098349,0.00000000,0.00030495,0.62000000,0.00086759,0.00000000,
68,chain_jackpot,-2.97424451,0.00000000,0.00000000,0.00000000,0.00005284,0.00000000,0.00078262,0.00000000,
69,chain_jackpot,-1.45506970,0.00134081,0.00120389,0.00000000,0.00008602,0.20000000,0.00091660,0.00000000,
70,chain_jackpot,-1.70328213,0.00085551,0.00090500,0.00000000,0.00009138,0.33333333,0.00063107,0.00000000,
71,chain_jackpot,-1.08926424,0.00094374,0.00098495,0.00000000,0.00030091,0.62000000,0.00086395,0.00000000,
72,chain_catastrophe,-2.19056876,0.00032731,0.00000000,0.03957784,0.00001034,0.10000000,0.00100561,0.05000000,
73,chain_catastrophe,0.90415040,0.00248279,0.00216408,0.04959631,0.00056257,0.60000000,0.00218146,0.03333333,
74,chain_catastrophe,-0.19033784,0.00147526,0.00135034,0.00000000,0.00059347,0.78787879,0.00155142,0.00000000,
75,chain_catastrophe,0.78033761,0.00165639,0.00166911,0.00000000,0.00146515,0.98000000,0.00186648,0.00000000,
76,chain_catastrophe,-2.70853507,0.00024564,0.00000000,0.00000000,0.00000756,0.05000000,0.00087222,0.00000000,
77,chain_catastrophe,1.01147568,0.00239903,0.00218106,0.07802548,0.00050323,0.56666667,0.00207798,0.06666667,
78,chain_catastrophe,-0.26905971,0.00145720,0.00137434,0.00000000,0.00056170,0.75757576,0.00150304,0.00000000,
79,chain_catastrophe,0.70481568,0.00164363,0.00166666,0.00000000,0.00140702,0.96000000,0.00184777,0.00000000,
80,chain_catastrophe,-2.24670760,0.00044661,0.00000000,0.02958580,0.00001063,0.05000000,0.00074254,0.05000000,
81,chain_catastrophe,0.28566838,0.00211369,0.00174090,0.05642857,0.00030289,0.46666667,0.00170899,0.03333333,
82,chain_catastrophe,-0.64748648,0.00135567,0.00118460,0.00000000,0.00037439,0.63636364,0.00125303,0.00000000,
83,chain_catastrophe,0.55720919,0.00160120,0.00161751,0.00000000,0.00127521,0.94000000,0.00176104,0.00000000,
84,chain_catastrophe,-2.81477988,0.00012923,0.00000000,0.00000000,0.00000646,0.05000000,0.00084173,0.00000000,
85,chain_catastrophe,0.01011502,0.00199486,0.00182723,0.02770535,0.00031511,0.53333333,0.00163708,0.00000000,
86,chain_catastrophe,-0.77402824,0.00124459,0.00120418,0.00000000,0.00033231,0.63636364,0.00116160,0.00000000,
87,chain_catastrophe,-0.07736109,0.00133265,0.00132024,0.00000000,0.00082219,0.86000000,0.00139838,0.00000000,
88,chain_catastrophe,-2.74693864,0.00020470,0.00000000,0.00000000,0.00000548,0.05000000,0.00078343,0.00000000,
89,chain_catastrophe,-0.36385372,0.00194435,0.00188304,0.00000000,0.00028091,0.50000000,0.00155918,0.00000000,
90,chain_catastrophe,-0.82838785,0.00124471,0.00123221,0.00000000,0.00031339,0.60606061,0.00112331,0.00000000,
91,chain_catastrophe,-0.13022238,0.00132845,0.00132053,0.00000000,0.00078834,0.84000000,0.00138330,0.00000000,
92,chain_catastrophe,-3.00642123,0.00000000,0.00000000,0.00000000,0.00000038,0.00000000,0.00031521,0.00000000,
93,chain_catastrophe,-0.35343338,0.00185823,0.00164958,0.04200000,0.00016689,0.33333333,0.00128655,0.00000000,
94,chain_catastrophe,-1.14325707,0.00115832,0.00108182,0.00000000,0.00020730,0.48484848,0.00093439,0.00000000,
95,chain_catastrophe,-0.23434673,0.00129318,0.00126236,0.00000000,0.00071685,0.82000000,0.00132051,0.00000000,
96,chain_catastrophe,-2.84966514,0.00009278,0.00000000,0.00000000,0.00000347,0.05000000,0.00065718,0.00000000,
97,chain_catastrophe,-1.01988766,0.00152441,0.00159795,0.00000000,0.00013971,0.36666667,0.00111758,0.00000000,
98,chain_catastrophe,-1.45641861,0.00090309,0.00095334,0.00000000,0.00014398,0.45454545,0.00076623,0.00000000,
