idx,family,horizon,gamma,reward_bound,mean_margin_abs_mean,mean_margin_abs_median,mean_margin_sq,mean_A_t,ratio_margin_over_A,mean_abs_u_pred,error,cfg
26,shaped_chain,30,0.95,1.0,0.7054323871814577,0.6984264323090766,0.5890878364940736,19.689193065227595,0.035828405198956456,0.0013045725480844196,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 3, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.95, ""reward_bound"": 1.0}"
27,shaped_chain,20,0.97,2.0,1.641959316111646,1.696329545894431,2.7871975438931575,34.07169618785169,0.0481912995190738,0.0006489753723144531,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 3, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}"
28,shaped_chain,20,0.95,2.0,1.3551911049840801,1.4088879561415553,1.9769415196262525,30.806551793341317,0.04399035354800721,0.0006527900695800781,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 5, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}"
29,shaped_chain,20,0.97,1.0,0.7674986652027537,0.7531405558010673,0.5929599048311712,17.035848093925846,0.045051978684665914,0.0002942085266113281,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 5, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.0}"
30,shaped_chain,20,0.97,2.0,1.5814447623784322,1.6316856936802655,2.5979600351136893,34.07169618785169,0.04641520497421841,0.0006527900695800781,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 5, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}"
31,shaped_chain,20,0.95,2.0,1.5123506100828645,1.5710798105435395,2.3966861498354715,30.806551793341317,0.04909184968925187,0.0006489753723144531,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.1, ""reward_interval"": 3, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}"
32,shaped_chain,20,0.97,1.0,1.0813053538446016,1.0706950928950962,1.1742897593527175,17.029440290134822,0.06349623566142706,0.0,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.1, ""reward_interval"": 3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.0}"
33,shaped_chain,20,0.97,2.0,1.7590124481284128,1.8070888065523314,3.1781689886189266,34.07169618785169,0.05162679422915232,0.0006489753723144531,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.1, ""reward_interval"": 3, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}"
34,shaped_chain,20,0.95,1.0,0.7274868595882815,0.7114396977836762,0.5353000916876315,15.394076644634762,0.04725758331480243,0.0,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.1, ""reward_interval"": 5, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.0}"
35,shaped_chain,20,0.95,2.0,1.4060775995777142,1.4561570179495487,2.1014387175264866,30.806551793341317,0.0456421610899546,0.0006527900695800781,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.1, ""reward_interval"": 5, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}"
36,shaped_chain,20,0.97,1.0,0.955642061318201,0.9369991179972397,0.9195946450034296,17.029440290134822,0.056117056405653315,0.0,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.1, ""reward_interval"": 5, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.0}"
37,shaped_chain,20,0.97,2.0,1.5349973304055073,1.5062811116021346,2.371839619324685,34.07169618785169,0.045051978684665914,0.0002942085266113281,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.1, ""reward_interval"": 5, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}"
38,shaped_chain,20,0.95,2.0,1.642941028880864,1.6233557921965698,2.720764282544512,30.788153289269523,0.0533627663031505,0.0,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.2, ""reward_interval"": 3, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}"
39,shaped_chain,20,0.97,1.0,1.5933243794498377,1.5721081921852966,2.5578147000392217,17.029440290134822,0.09356293291523225,0.0,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.2, ""reward_interval"": 3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.0}"
40,two_path_chain,20,0.95,1.1,0.878425146231249,0.9121585948387096,0.8047419140495469,16.94360348633773,0.05184405707673439,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}"
41,two_path_chain,20,0.97,1.1,1.0195114378261751,1.0447717784611026,1.0687779382359994,18.739432903318438,0.05440460461563044,0.0009248256683349609,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}"
42,two_path_chain,20,0.95,1.1,1.098202451541978,1.125019008135639,1.2535549542399447,16.94360348633773,0.06481516475686534,0.0009253025054931641,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}"
43,two_path_chain,20,0.95,1.1,1.3179797568527056,1.3361356714325667,1.8233526981954455,16.94360348633773,0.07778627243699622,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}"
44,two_path_chain,20,0.95,1.1,1.098202451541978,1.125019008135639,1.2535549542399447,16.94360348633773,0.06481516475686534,0.0009253025054931641,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.0, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.1}"
45,two_path_chain,20,0.95,1.6,1.317979756852706,1.3361356714325674,1.8233526981954467,24.64524143467306,0.05347806230043492,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 1.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.6}"
46,two_path_chain,30,0.95,1.1,0.7788023848901336,0.8169969960297767,0.7252505532396479,20.60301518661192,0.03780040823326716,0.0015347932262757718,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.95, ""reward_bound"": 1.1}"
47,two_path_chain,20,0.97,1.1,1.2718408579780192,1.2861289944939405,1.6798313809930903,18.739432903318438,0.06786976236366243,0.0009267330169677734,,"{""family"": ""two_path_chain"", ""n_states"": 20, ""safe_reward"": 0.02, ""event_reward"": 0.5, ""event_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}"
