idx,family,total_score,mean_abs_u_pred,frac_u_ge_5e3,informative_stage_frac,mean_abs_delta_d_pred,reward_bound,horizon,gamma,error,cfg
65,dense_grid_hazard,3.135490757108303,0.0021860605377119766,0.15,0.45,0.001065003851705835,2.0,20,0.95,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}"
66,dense_grid_hazard,3.1547510072333433,0.0021899237670944243,0.15,0.45,0.0010668859378152324,2.0,30,0.95,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.95, ""reward_bound"": 2.0}"
67,dense_grid_hazard,2.989706904223401,0.0021845737583888166,0.15,0.45,0.001075653068851346,2.0,20,0.97,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}"
68,dense_grid_hazard,2.3608936383113712,0.002027912866072938,0.15,0.45,0.000998515472127284,2.5,20,0.97,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.5}"
69,dense_grid_hazard,3.0300052123104715,0.0022154300998577523,0.2,0.45,0.0010793120999306996,2.5,20,0.95,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.5}"
70,dense_grid_hazard,2.361473607807892,0.002027912866072938,0.15,0.45,0.000998515472127284,2.5,20,0.97,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.5}"
71,dense_grid_hazard,1.7502176741781144,0.0018559058086315256,0.15,0.45,0.0009138216418134922,3.0,20,0.97,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -2.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 3.0}"
72,dense_grid_hazard,2.90954004431409,0.002215902477614271,0.2,0.45,0.0010795422326838756,3.0,20,0.95,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -2.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 3.0}"
73,dense_grid_hazard,1.7507921069633374,0.0018559058086315256,0.15,0.45,0.0009138216418134922,3.0,20,0.97,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.02, ""hazard_penalty"": -2.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 3.0}"
74,dense_grid_hazard,2.9830371561736526,0.002184545072351391,0.15,0.45,0.0010756389442542382,2.0,20,0.97,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}"
75,dense_grid_hazard,3.135980871182551,0.0021860605377119766,0.15,0.45,0.001065003851705835,2.0,20,0.95,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}"
76,dense_grid_hazard,2.983508860613712,0.002184545072351391,0.15,0.45,0.0010756389442542382,2.0,20,0.97,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.0, ""hazard_prob"": 0.2, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}"
77,dense_grid_hazard,2.9323892364456845,0.0021865207871767595,0.15,0.45,0.0010652280758040626,2.5,20,0.95,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.5}"
78,dense_grid_hazard,2.440148984225724,0.0020551955002826037,0.15,0.45,0.0010119490534386422,2.5,20,0.97,,"{""family"": ""dense_grid_hazard"", ""grid_size"": [5, 4], ""step_cost"": -0.05, ""hazard_penalty"": -1.5, ""hazard_prob"": 0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.5}"
