cell,gamma,method,n_seeds,auc_return_mean,auc_return_std,alignment_last200_mean,alignment_last200_std,d_eff_last200_mean,d_eff_last200_std,bellman_final200_mean,bellman_final200_std,delta_auc_vs_vanilla,delta_auc_ci_lo,delta_auc_ci_hi,delta_alignment_vs_vanilla,delta_alignment_ci_lo,delta_alignment_ci_hi,divergence_event_runs
DC-Long50,0.9900,ac_ucb_ep,5,10000.0,0.0,0.0,0.0,0.99,0.0,5.040412531798211e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DC-Long50,0.9900,ac_ucb_ep_bkt,5,10000.0,0.0,0.0,0.0,0.99,0.0,5.040412531798211e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DC-Long50,0.9900,ac_ucb_tx,5,10000.0,0.0,0.0,0.0,0.99,0.0,5.040412531798211e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DC-Long50,0.9900,ac_ucb_tx_bkt,5,10000.0,0.0,0.0,0.0,0.99,0.0,5.040412531798211e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DC-Long50,0.9900,contraction_UCB_beta,5,10000.0,0.0,0.9800000000000002,1.1102230246251565e-16,0.913514612605557,1.1102230246251565e-16,7.154297987366221e-16,0.0,0.0,0.0,0.0,0.9800000000000002,0.9800000000000002,0.9800000000000002,5
DC-Long50,0.9900,fixed_beta_-0.5,5,10000.0,0.0,0.9800000000000002,1.1102230246251565e-16,0.9296350785532133,0.0,1.9317880628477714e-16,2.465190328815662e-32,0.0,0.0,0.0,0.9800000000000002,0.9800000000000002,0.9800000000000002,0
DC-Long50,0.9900,return_UCB_beta,5,10000.0,0.0,0.47030000000000005,5.551115123125783e-17,0.9911351430040094,0.0,0.11433008621022149,1.3877787807814457e-17,0.0,0.0,0.0,0.47030000000000005,0.47030000000000005,0.47030000000000005,0
DC-Long50,0.9900,vanilla,5,10000.0,0.0,0.0,0.0,0.99,0.0,5.040412531798211e-16,0.0,nan,nan,nan,nan,nan,nan,0
SH-FiniteMemoryRegret,0.6000,ac_ucb_ep,5,106580.4,146.62687338956664,0.0,0.0,0.5999999999999998,0.0,0.45554130484757877,0.004474987392480308,0.0,0.0,0.0,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.6000,ac_ucb_ep_bkt,5,106580.2,147.35453844384978,0.0,0.0,0.5999999999999998,0.0,0.455541304847576,0.004474987392479594,-0.2,-1.2,0.6,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.6000,ac_ucb_tx,5,106580.4,146.62687338956664,0.0,0.0,0.5999999999999998,0.0,0.4555413048475784,0.0044749873924805565,0.0,0.0,0.0,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.6000,ac_ucb_tx_bkt,5,106580.0,147.220922426128,0.0,0.0,0.5999999999999998,0.0,0.4555413048475751,0.004474987392479982,-0.4,-1.2,0.0,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.6000,contraction_UCB_beta,5,94905.4,9091.003126168202,0.16974999999999998,0.15869026435166084,0.8544789483383189,0.2207070999897033,1.225061619188487,1.0444983997269355,-11675.0,-19638.4,-3711.6,0.16974999999999998,0.0791,0.3285,0
SH-FiniteMemoryRegret,0.6000,fixed_beta_-0.5,5,106620.6,115.95102414381687,0.8994,0.00467867502611594,0.49100982051681286,0.0014931368463319454,0.5180401598736828,0.0040632698006186525,40.2,-142.6,223.0,0.8994,0.89535,0.90335,0
SH-FiniteMemoryRegret,0.6000,return_UCB_beta,5,103122.8,940.827167975075,0.7956999999999999,0.14141237569604723,0.5648360435751341,0.02595292542707779,5.062941383600857,8.042896505148374,-3457.6,-4423.6,-2590.0,0.7956999999999999,0.6548999999999999,0.9021000000000001,0
SH-FiniteMemoryRegret,0.6000,vanilla,5,106580.4,146.62687338956664,0.0,0.0,0.5999999999999998,0.0,0.4555413048475792,0.004474987392480179,nan,nan,nan,nan,nan,nan,0
SH-FiniteMemoryRegret,0.8000,ac_ucb_ep,5,106570.2,165.114990234079,0.0,0.0,0.8000000000000002,0.0,0.4555428143522514,0.0008727517236007228,-1.6,-4.8,0.0,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.8000,ac_ucb_ep_bkt,5,106570.2,165.114990234079,0.0,0.0,0.8000000000000002,0.0,0.4555428143522514,0.0008727517236007228,-1.6,-4.8,0.0,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.8000,ac_ucb_tx,5,106570.2,165.114990234079,0.0,0.0,0.8000000000000002,0.0,0.4555428143522514,0.0008727517236007228,-1.6,-4.8,0.0,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.8000,ac_ucb_tx_bkt,5,106570.2,165.114990234079,0.0,0.0,0.8000000000000002,0.0,0.4555428143522514,0.0008727517236007228,-1.6,-4.8,0.0,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.8000,contraction_UCB_beta,5,79629.2,2335.154247581945,0.061850000000000016,0.006028266749240616,1.4882425486448327,0.14750611602128766,14.824777955438766,10.70624552728364,-26942.6,-28419.2,-24717.0,0.061850000000000016,0.05675,0.06705000000000003,0
SH-FiniteMemoryRegret,0.8000,fixed_beta_-0.5,5,106699.0,81.39533156145995,0.9109999999999999,0.0036469165057621046,0.5707972779895911,0.002041185864150081,0.5716011070004412,0.003729611062220603,127.2,6.8,238.8,0.9109999999999999,0.9073499999999999,0.9131,0
SH-FiniteMemoryRegret,0.8000,return_UCB_beta,5,100671.0,2662.188648462013,0.56775,0.4142761156523509,0.9380272189829956,0.4670897556557576,15.718998473321937,29.776845661841357,-5900.8,-8548.4,-3603.9150000000027,0.56775,0.22615000000000002,0.9088500000000002,0
SH-FiniteMemoryRegret,0.8000,vanilla,5,106571.8,165.07622481750667,0.0,0.0,0.8000000000000002,0.0,0.45554281435227895,0.000872751723599069,nan,nan,nan,nan,nan,nan,0
SH-FiniteMemoryRegret,0.9500,ac_ucb_ep,5,106540.0,94.78396488858229,0.0,0.0,0.9499999999999996,1.1102230246251565e-16,0.4564141956181903,0.0014720467958904556,0.0,0.0,0.0,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.9500,ac_ucb_ep_bkt,5,106540.0,94.78396488858229,0.0,0.0,0.9499999999999996,1.1102230246251565e-16,0.4564141956181903,0.0014720467958904556,0.0,0.0,0.0,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.9500,ac_ucb_tx,5,106540.0,94.78396488858229,0.0,0.0,0.9499999999999996,1.1102230246251565e-16,0.4564141956181903,0.0014720467958904556,0.0,0.0,0.0,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.9500,ac_ucb_tx_bkt,5,106540.0,94.78396488858229,0.0,0.0,0.9499999999999996,1.1102230246251565e-16,0.4564141956181903,0.0014720467958904556,0.0,0.0,0.0,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.9500,contraction_UCB_beta,5,80103.4,3342.272795568908,0.36300000000000004,0.371035207224328,1.267012583060351,0.568694667147791,124.92874156433834,148.37434375367465,-26436.6,-29522.4,-23940.6,0.36300000000000004,0.062,0.69225,0
SH-FiniteMemoryRegret,0.9500,fixed_beta_-0.5,5,106567.8,88.67558852356154,0.9148,0.0021988633427296434,0.5916204946722009,0.002218105774734,0.6299325967575368,0.003298373695007157,27.8,-136.6,139.4,0.9148,0.9128000000000001,0.91645,0
SH-FiniteMemoryRegret,0.9500,return_UCB_beta,5,99100.4,3392.2664164242765,0.81135,0.1871846414639834,0.622903207412612,0.24281379698552552,1.7927260074513882,2.249344451595338,-7439.6,-10082.2,-4186.6,0.81135,0.62375,0.9132,0
SH-FiniteMemoryRegret,0.9500,vanilla,5,106540.0,94.78396488858229,0.0,0.0,0.9499999999999996,1.1102230246251565e-16,0.4564141956182116,0.0014720467958968767,nan,nan,nan,nan,nan,nan,0
SH-FiniteMemoryRegret,0.9900,ac_ucb_ep,5,106227.0,274.9181696432595,0.0,0.0,0.9899999999999999,1.1102230246251565e-16,0.4607032507389738,0.002204344240413838,0.0,0.0,0.0,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.9900,ac_ucb_ep_bkt,5,106227.0,274.9181696432595,0.0,0.0,0.9899999999999999,1.1102230246251565e-16,0.4607032507389738,0.002204344240413838,0.0,0.0,0.0,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.9900,ac_ucb_tx,5,106227.0,274.9181696432595,0.0,0.0,0.9899999999999999,1.1102230246251565e-16,0.4607032507389738,0.002204344240413838,0.0,0.0,0.0,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.9900,ac_ucb_tx_bkt,5,106227.0,274.9181696432595,0.0,0.0,0.9899999999999999,1.1102230246251565e-16,0.4607032507389738,0.002204344240413838,0.0,0.0,0.0,0.0,0.0,0.0,0
SH-FiniteMemoryRegret,0.9900,contraction_UCB_beta,5,77661.4,4698.9922579208405,0.2198,0.3184771734363391,1.583130253998086,0.401032252398923,105.66633801227442,59.46638953470401,-28565.6,-31636.8,-23965.4,0.2198,0.059699999999999996,0.5383,0
SH-FiniteMemoryRegret,0.9900,fixed_beta_-0.5,5,106528.2,183.5803911097261,0.91605,0.0010535653752852241,0.5943367880873471,0.0023246393367758232,0.6510525018215876,0.0030332211369066063,301.2,113.6,476.4099999999999,0.91605,0.9152000000000001,0.9169,0
SH-FiniteMemoryRegret,0.9900,return_UCB_beta,5,99989.8,2607.153727726848,0.80015,0.2148283384472356,0.6843621581435393,0.4245887486007084,80.65987086040842,154.25416497541983,-6237.2,-8611.8,-3813.4,0.80015,0.58375,0.9146500000000002,0
SH-FiniteMemoryRegret,0.9900,vanilla,5,106227.0,274.9181696432595,0.0,0.0,0.9899999999999999,1.1102230246251565e-16,0.46070325073897395,0.0022043442404220837,nan,nan,nan,nan,nan,nan,0
