stage,game,cell,method,beta,gamma,seed,is_baseline,return_AUC,headline_AUC,return_last200,align_last200,q_abs_max_max,divergence_event_sum
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.2,0.2,0.95,0,False,36982.0,36982.0,5.18,0.0965,871.499186099086,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.2,0.2,0.95,7,False,36336.0,36336.0,4.86,0.09725000000000002,1009.6600506478865,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+2.0,2.0,0.95,2,False,8174.0,8174.0,1.11,0.05075000000000001,172593.17265078996,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+2.0,2.0,0.95,5,False,10132.0,10132.0,0.57,0.05800000000000001,168886.1627803146,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+2.0,2.0,0.95,4,False,9826.0,9826.0,1.17,0.05975000000000001,173417.34454875492,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+2.0,2.0,0.95,3,False,10084.0,10084.0,0.57,0.064,167606.42978571943,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+2.0,2.0,0.95,6,False,8972.0,8972.0,-0.08,0.057999999999999996,174027.07836618027,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+2.0,2.0,0.95,1,False,11304.0,11304.0,1.92,0.06275,172380.23765899354,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+2.0,2.0,0.95,8,False,8266.0,8266.0,1.06,0.06275,174637.36054880815,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+2.0,2.0,0.95,9,False,10900.0,10900.0,2.13,0.06425,171783.83317520164,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+2.0,2.0,0.95,0,False,7910.0,7910.0,2.03,0.05550000000000001,172775.48635760637,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+2.0,2.0,0.95,7,False,7712.0,7712.0,1.92,0.06325000000000001,179177.1355614831,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,vanilla,0.0,0.95,2,False,55322.0,55322.0,7.36,0.0,5.983361545852217,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,vanilla,0.0,0.95,5,False,56582.0,56582.0,7.7,0.0,6.148223254943914,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,vanilla,0.0,0.95,4,False,55526.0,55526.0,7.44,0.0,5.9815431412886495,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,vanilla,0.0,0.95,3,False,55952.0,55952.0,7.7,0.0,6.156864582231574,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,vanilla,0.0,0.95,6,False,56086.0,56086.0,7.12,0.0,6.178332820709349,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,vanilla,0.0,0.95,1,False,56334.0,56334.0,7.99,0.0,6.011520163360371,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,vanilla,0.0,0.95,8,False,56776.0,56776.0,7.83,0.0,6.138775459622852,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,vanilla,0.0,0.95,9,False,56986.0,56986.0,8.21,0.0,6.1886067370487385,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,vanilla,0.0,0.95,0,False,56386.0,56386.0,7.98,0.0,5.974487652688411,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,vanilla,0.0,0.95,7,False,55646.0,55646.0,7.66,0.0,5.976926300727364,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.75,0.75,0.95,2,False,15714.0,15714.0,2.65,0.084,44131.88042329131,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.75,0.75,0.95,5,False,17288.0,17288.0,1.49,0.07675000000000001,45488.150981501276,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.75,0.75,0.95,4,False,17262.0,17262.0,1.47,0.07975,45522.86497847475,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.75,0.75,0.95,3,False,14928.0,14928.0,2.19,0.07775,42897.04396019868,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.75,0.75,0.95,6,False,13352.0,13352.0,1.65,0.08900000000000001,45476.52507193907,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.75,0.75,0.95,1,False,15972.0,15972.0,3.49,0.07525000000000001,47073.32027258489,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.75,0.75,0.95,8,False,17736.0,17736.0,2.08,0.07675,47374.14053994017,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.75,0.75,0.95,9,False,18214.0,18214.0,3.66,0.07975,45991.81074532046,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.75,0.75,0.95,0,False,15900.0,15900.0,2.47,0.077,43985.82093379204,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.75,0.75,0.95,7,False,16564.0,16564.0,1.74,0.07675000000000001,47456.4306087089,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.1,-0.1,0.95,2,False,55738.0,55738.0,7.36,0.8852500000000001,4.165663614203261,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.1,-0.1,0.95,5,False,56626.0,56626.0,7.7,0.8965000000000001,4.348347727556963,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.1,-0.1,0.95,4,False,55668.0,55668.0,7.44,0.88075,4.114917656905457,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.1,-0.1,0.95,3,False,56322.0,56322.0,7.66,0.8982499999999999,4.341835374255766,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.1,-0.1,0.95,6,False,56288.0,56288.0,7.15,0.8702500000000001,4.210966507332014,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.1,-0.1,0.95,1,False,56502.0,56502.0,8.03,0.885,4.185424858132212,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.1,-0.1,0.95,8,False,56892.0,56892.0,7.82,0.8875,4.373495271783669,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.1,-0.1,0.95,9,False,57084.0,57084.0,8.22,0.88775,4.331445175460167,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.1,-0.1,0.95,0,False,56534.0,56534.0,7.97,0.8865000000000001,4.175653671386974,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.1,-0.1,0.95,7,False,55860.0,55860.0,7.68,0.8805000000000001,4.1182328610161605,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-1.35,-1.35,0.95,2,False,55648.0,55648.0,7.34,0.53825,2.3225767812510165,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-1.35,-1.35,0.95,5,False,56448.0,56448.0,7.7,0.539,2.356298363110301,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-1.35,-1.35,0.95,4,False,54862.0,54862.0,7.46,0.46875,3.49264771797442,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-1.35,-1.35,0.95,3,False,56286.0,56286.0,7.8,0.5095000000000001,2.321947552150084,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-1.35,-1.35,0.95,6,False,56400.0,56400.0,7.18,0.41125,2.2479861742099603,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-1.35,-1.35,0.95,1,False,56502.0,56502.0,8.1,0.5347500000000001,2.1723057247970163,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-1.35,-1.35,0.95,8,False,56998.0,56998.0,7.78,0.56325,2.321080623310374,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-1.35,-1.35,0.95,9,False,56958.0,56958.0,8.23,0.6045,2.2791707336125846,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-1.35,-1.35,0.95,0,False,56512.0,56512.0,7.98,0.49524999999999997,2.24463819138258,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-1.35,-1.35,0.95,7,False,55960.0,55960.0,7.84,0.5834999999999999,2.2715222916238402,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.05,0.05,0.95,2,False,54976.0,54976.0,7.29,0.10775000000000003,9.635743321408436,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.05,0.05,0.95,5,False,56256.0,56256.0,7.7,0.09575000000000002,9.679636675266877,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.05,0.05,0.95,4,False,55272.0,55272.0,7.36,0.10825000000000001,9.668433776826006,0
