cell,gamma,source,best_beta,best_method,best_auc_mean,vanilla_auc_mean,paired_d_cohen,paired_bootstrap_auc_advantage_mean,paired_bootstrap_auc_advantage_ci_lower,paired_bootstrap_auc_advantage_ci_upper,align_at_best_beta_final,align_at_best_beta_last200,h1_confirms,h2_evaluable,h2_ratio,h3_confirms
MP-HypothesisTesting,0.6,tier3,-1.0,fixed_beta_-1.0,51724.6,50821.8,1.2017209340276835,899.38105,-19.8,1892.8,0.53,0.40235000000000004,False,False,,True
MP-HypothesisTesting,0.8,tier3,-1.0,fixed_beta_-1.0,51722.8,50984.8,1.5726862276728726,738.53449,291.8,1186.6,0.55,0.49009999999999987,False,False,,True
MP-HypothesisTesting,0.9,tier3,-1.0,fixed_beta_-1.0,51667.8,51442.4,0.5113497761948279,223.68125,-332.6,858.6,0.64,0.5385000000000001,False,False,,True
MP-HypothesisTesting,0.95,tier1,-0.75,fixed_beta_-0.75,52073.8,51170.8,1.2031346958576667,901.119655,173.1,1723.0,0.7549999999999999,0.6665,False,False,,True
MP-RegretMatching,0.6,tier3,-1.0,fixed_beta_-1.0,34983.8,34833.8,0.4344825625094607,150.79868,39.6,272.6,0.48999999999999994,0.38969999999999994,False,False,,False
MP-RegretMatching,0.8,tier3,-1.0,fixed_beta_-1.0,34633.4,34462.8,0.5981336643932573,170.59983,76.8,288.6,0.38999999999999996,0.39089999999999997,False,False,,False
MP-RegretMatching,0.9,tier3,0.0,vanilla,34316.2,34316.2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
MP-RegretMatching,0.95,tier1,-0.75,fixed_beta_-0.75,34634.1,34166.0,1.2062365714518177,467.107895,181.595,767.1049999999996,0.385,0.42189999999999994,False,False,,False
MP-Stationary,0.6,tier3,-2.0,fixed_beta_-2.0,424.2,94.6,1.139771620898937,330.04511,-45.2,643.4,0.09,0.10969999999999999,False,False,,False
MP-Stationary,0.8,tier3,-2.0,fixed_beta_-2.0,197.2,-55.0,0.8687409446551438,251.15967,-67.6,580.6,0.06000000000000001,0.07944999999999999,False,False,,False
MP-Stationary,0.9,tier3,2.0,fixed_beta_+2.0,363.6,6.0,1.7523065350280718,355.99344,63.2,621.2,0.06000000000000001,0.0706,False,False,,False
MP-Stationary,0.95,tier1,1.35,fixed_beta_+1.35,51.6,14.7,0.12228981831014557,36.30157,-185.2,283.0,0.075,0.08465,False,False,,False
PG-BetterReplyInertia,0.6,tier3,-2.0,fixed_beta_-2.0,141876.16,141860.28000000003,0.12404864051166224,16.052728000010518,-2.759999999997672,42.04000000001979,0.93,0.9071999999999999,False,False,,True
PG-BetterReplyInertia,0.8,tier3,-2.0,fixed_beta_-2.0,141872.49000000002,141858.08000000002,0.10060033603755947,14.423516500003492,-13.720000000006985,40.0800000000163,0.93,0.9073500000000001,False,False,,True
PG-BetterReplyInertia,0.9,tier3,-2.0,fixed_beta_-2.0,141893.03000000003,141876.48,0.11684579534738676,16.647262000011555,-16.939999999990686,45.110000000009315,0.93,0.9073500000000001,False,False,,True
PG-BetterReplyInertia,0.95,tier1,-0.05,fixed_beta_-0.05,141900.24000000002,141878.375,0.13640633549491282,21.777949499999423,-0.6650000000052387,39.68537499999763,0.9200000000000002,0.9099500000000003,False,False,,True
PG-Congestion,0.6,tier3,-2.0,fixed_beta_-2.0,89410.78333333333,89404.98333333332,0.4013978336405762,5.899676666663725,-9.516666666668607,19.866666666656965,0.9099999999999999,0.9137000000000001,False,False,,True
PG-Congestion,0.8,tier3,-1.0,fixed_beta_-1.0,89419.15,89397.41666666666,1.2548711731693682,21.749564166661813,6.4,38.54999999999127,0.9099999999999999,0.91465,False,False,,True
PG-Congestion,0.9,tier3,-1.0,fixed_beta_-1.0,89408.76666666666,89375.83333333333,1.333880872626754,32.8359266666676,7.09999999999709,58.76666666667152,0.9099999999999999,0.9147000000000001,False,False,,True
PG-Congestion,0.95,tier1,-2.0,fixed_beta_-2.0,89432.85833333332,89400.31666666667,0.9042577677663426,32.560044583333806,12.125,54.46666666666573,0.9199999999999999,0.9141,False,False,,True
PG-CoordinationPotential,0.6,tier3,1.0,fixed_beta_+1.0,66815.5,66810.1,0.020827452240748067,5.20002,-99.8,129.9,0.13,0.0957,False,False,,False
PG-CoordinationPotential,0.8,tier3,-1.0,fixed_beta_-1.0,66816.8,66731.0,0.5359337144909214,86.19111,-15.2,186.8,0.76,0.7581000000000001,False,False,,True
PG-CoordinationPotential,0.9,tier3,1.0,fixed_beta_+1.0,66843.9,66786.6,0.33106188020036226,58.379645,-83.7,218.4,0.08,0.05159999999999998,False,False,,False
PG-CoordinationPotential,0.95,tier1,-0.35,fixed_beta_-0.35,66776.25,66668.0,0.611986235577731,108.5989475,-27.10125,237.75124999999989,0.89,0.900225,False,False,,True
PG-SwitchingPayoff,0.6,tier3,0.0,vanilla,100311.3,100311.3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
PG-SwitchingPayoff,0.8,tier3,1.0,fixed_beta_+1.0,100260.7,100082.9,0.5329226484792089,178.26363,-44.8,428.2,0.06999999999999999,0.052050000000000006,False,False,,False
PG-SwitchingPayoff,0.9,tier3,-1.0,fixed_beta_-1.0,100160.3,100029.9,0.4678423933454897,129.09758,-82.6,357.2,0.6399999999999999,0.7772,False,False,,True
PG-SwitchingPayoff,0.95,tier1,-0.1,fixed_beta_-0.1,100218.0,100134.7,0.23582697577366682,83.69077,-82.4,243.90249999999978,0.9149999999999998,0.902725,False,False,,True
RR-ConventionSwitch,0.6,tier3,0.0,vanilla,140012.2,140012.2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
RR-ConventionSwitch,0.8,tier3,0.0,vanilla,140012.6,140012.6,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
RR-ConventionSwitch,0.9,tier3,0.0,vanilla,140013.0,140013.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
RR-ConventionSwitch,0.95,tier1,-0.05,fixed_beta_-0.05,140019.8,140019.2,0.002828879082904783,0.60049,-0.2,1.4,0.9,0.9024000000000001,False,False,,True
RR-HypothesisTesting,0.6,tier3,-1.0,fixed_beta_-1.0,53673.8,53108.4,1.3464385673769477,565.07132,141.4,975.4,0.27,0.38529999999999986,False,False,,False
RR-HypothesisTesting,0.8,tier3,0.0,vanilla,53535.6,53535.6,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
RR-HypothesisTesting,0.9,tier3,-1.0,fixed_beta_-1.0,53368.6,53348.0,0.019343184323545873,14.40482,-1006.6,959.8,0.6300000000000001,0.6073999999999999,False,False,,True
RR-HypothesisTesting,0.95,tier1,-0.75,fixed_beta_-0.75,53636.1,53047.4,0.7635213128263896,587.23902,98.48250000000002,1077.4,0.72,0.734225,False,False,,True
RR-Sparse,0.6,tier3,0.0,vanilla,4580.25,4580.25,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
RR-Sparse,0.8,tier3,0.0,vanilla,4580.25,4580.25,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
RR-Sparse,0.9,tier3,0.0,vanilla,4580.25,4580.25,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
RR-Sparse,0.95,tier1,0.0,vanilla,4567.725,4567.725,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
RR-StationaryConvention,0.6,tier2,-0.5,fixed_beta_-0.5,56293.2,56273.6,0.04666653439209332,19.6,6.4,30.8,0.49000000000000005,0.40990000000000004,False,True,0.05747608142912648,False
RR-StationaryConvention,0.8,tier2,-0.5,fixed_beta_-0.5,56276.4,56166.0,0.268006640860146,110.38882,74.0,150.8,0.74,0.69705,False,True,0.05747608142912648,True
RR-StationaryConvention,0.9,tier2,-0.5,fixed_beta_-0.5,56263.6,56051.2,0.4819394130489989,212.93986,169.2,290.0,0.8200000000000001,0.8177000000000001,False,True,0.05747608142912648,True
RR-StationaryConvention,0.95,tier2,-0.5,fixed_beta_-0.5,56266.8,55902.6,0.8119296450235152,364.81641,258.0,470.4,0.85,0.84605,False,True,0.05747608142912648,True
RR-Tremble,0.6,tier3,-1.0,fixed_beta_-1.0,50548.8,50457.2,0.34513073960204543,91.65238,10.4,158.0,0.38,0.34064999999999995,False,False,,False
RR-Tremble,0.8,tier3,-1.0,fixed_beta_-1.0,50483.2,50317.2,0.6189907433800486,166.37164,27.2,296.8,0.5199999999999999,0.4048,False,False,,True
RR-Tremble,0.9,tier3,-1.0,fixed_beta_-1.0,50464.4,50236.0,0.8974518612834256,229.01542,90.4,366.4,0.6,0.47415,False,False,,True
RR-Tremble,0.95,tier1,-0.75,fixed_beta_-0.75,50624.7,50239.1,1.449188893648024,385.86753,302.4,472.8,0.6950000000000001,0.665175,False,False,,True
SH-FictitiousPlay,0.6,tier3,-2.0,fixed_beta_-2.0,142571.6,142563.1,0.10327202815456073,8.094755,-63.7,91.4,0.9100000000000001,0.906,False,False,,True
SH-FictitiousPlay,0.8,tier3,0.0,vanilla,142558.8,142558.8,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
SH-FictitiousPlay,0.9,tier3,-2.0,fixed_beta_-2.0,142604.2,142504.6,0.7009317279194182,99.116685,22.1,178.9,0.9,0.9060000000000002,False,False,,True
SH-FictitiousPlay,0.95,tier1,-0.35,fixed_beta_-0.35,142627.65,142606.55,0.10489231049411385,21.5913875,-80.55,127.45124999999989,0.9,0.9059250000000001,False,False,,True
SH-FiniteMemoryRegret,0.6,tier2,0.35,fixed_beta_+0.35,106698.3,106570.8,0.724670043252574,127.5,-91.5,360.0,0.05,0.0679,False,True,0.8990009432994327,False
