stage,game,subcase,method,beta,gamma,seed,headline_metric,AUC,return_AUC,bellman_residual_AUC,align_final,align_last200,q_abs_max_final,q_abs_max_max,divergence_event_sum,return_final,return_last200,diverged
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.35,-1.35,0.95,2,cumulative_return_auc,521852.0,521852.0,148321.45037857833,0.85,0.8517499999999998,10.593896917102889,10.593896917102889,0,57.0,58.575,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.35,-1.35,0.95,3,cumulative_return_auc,521464.5,521464.5,146927.33259476634,0.85,0.8527499999999998,10.140379594251083,10.375438642430195,0,54.0,58.38,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.35,-1.35,0.95,4,cumulative_return_auc,520711.5,520711.5,150730.38674536208,0.85,0.8532499999999998,9.434679445382844,10.250368180751549,0,60.0,58.86,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.35,-1.35,0.95,5,cumulative_return_auc,522069.5,522069.5,147160.33809221745,0.85,0.8537499999999997,9.635636338257036,10.597763596863636,0,60.0,58.455,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.35,-1.35,0.95,6,cumulative_return_auc,522238.5,522238.5,148475.9560648634,0.85,0.8524999999999998,10.114540134629284,10.681409805796164,0,60.0,58.53,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.35,-1.35,0.95,7,cumulative_return_auc,521624.5,521624.5,147430.87831828976,0.85,0.8524999999999997,9.991554480543392,10.304479194304081,0,60.0,58.635,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.35,-1.35,0.95,8,cumulative_return_auc,521010.5,521010.5,146653.94051177846,0.85,0.8534999999999998,10.256142530980316,10.492469683322106,0,60.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.35,-1.35,0.95,9,cumulative_return_auc,520069.0,520069.0,146549.89833626823,0.85,0.8524999999999998,10.144186572528605,10.517918008072751,0,57.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.0,-1.0,0.95,0,cumulative_return_auc,520895.5,520895.5,148767.67471755244,0.9,0.9007500000000002,9.895885728328544,10.684735275232816,0,57.0,58.335,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.0,-1.0,0.95,1,cumulative_return_auc,522617.0,522617.0,144926.37224673928,0.9,0.9015000000000002,10.75052121648286,10.886034252716085,0,60.0,58.59,False
